device,input_type,layers,nodes,batch_size,input_size,output_size,#params,duration,tflops
Tesla T4, f32, 128, 64, 64, 2000, 200, 660992, 3.76530385017395, 0.006741047684326297
Tesla T4, f32, 128, 64, 64, 2000, 400, 673792, 3.7626912593841553, 0.006876358174610045
Tesla T4, f32, 128, 64, 64, 2000, 600, 686592, 3.75553560256958, 0.007020338931672136
Tesla T4, f32, 128, 64, 64, 2000, 800, 699392, 3.7756295204162598, 0.007113158919532729
Tesla T4, f32, 128, 64, 64, 2000, 1000, 712192, 3.7633895874023438, 0.007266899204787593
Tesla T4, f32, 128, 64, 64, 4000, 200, 788992, 3.8362512588500977, 0.00789762994019362
Tesla T4, f32, 128, 64, 64, 4000, 400, 801792, 3.7523694038391113, 0.008205165719691524
Tesla T4, f32, 128, 64, 64, 4000, 600, 814592, 3.7549853324890137, 0.008330347532746725
Tesla T4, f32, 128, 64, 64, 4000, 800, 827392, 3.7485873699188232, 0.008475686882733115
Tesla T4, f32, 128, 64, 64, 4000, 1000, 840192, 3.750258445739746, 0.008602973172862486
Tesla T4, f32, 128, 64, 64, 6000, 200, 916992, 3.7454164028167725, 0.00940148945081731
Tesla T4, f32, 128, 64, 64, 6000, 400, 929792, 3.748349189758301, 0.009525263253902513
Tesla T4, f32, 128, 64, 64, 6000, 600, 942592, 3.753584384918213, 0.009642925025325804
Tesla T4, f32, 128, 64, 64, 6000, 800, 955392, 3.7471964359283447, 0.009790533650235769
Tesla T4, f32, 128, 64, 64, 6000, 1000, 968192, 3.8706674575805664, 0.009605209749338468
Tesla T4, f32, 128, 64, 64, 8000, 200, 1044992, 3.741959571838379, 0.010723710940651814
Tesla T4, f32, 128, 64, 64, 8000, 400, 1057792, 3.7638144493103027, 0.010792033812252152
Tesla T4, f32, 128, 64, 64, 8000, 600, 1070592, 3.757089614868164, 0.010942175197873893
Tesla T4, f32, 128, 64, 64, 8000, 800, 1083392, 3.7623255252838135, 0.011057589918900415
Tesla T4, f32, 128, 64, 64, 8000, 1000, 1096192, 3.748455047607422, 0.011229632546045277
Tesla T4, f32, 128, 64, 128, 2000, 200, 660992, 3.755289077758789, 0.013518050021943132
Tesla T4, f32, 128, 64, 128, 2000, 400, 673792, 3.765590190887451, 0.013742128850140364
Tesla T4, f32, 128, 64, 128, 2000, 600, 686592, 3.783879518508911, 0.013935503321939562
Tesla T4, f32, 128, 64, 128, 2000, 800, 699392, 3.7543013095855713, 0.014307137645787223
Tesla T4, f32, 128, 64, 128, 2000, 1000, 712192, 3.7583389282226562, 0.01455332971416345
Tesla T4, f32, 128, 64, 128, 4000, 200, 788992, 3.757758855819702, 0.016125192681312208
Tesla T4, f32, 128, 64, 128, 4000, 400, 801792, 3.7530722618103027, 0.016407258188601434
Tesla T4, f32, 128, 64, 128, 4000, 600, 814592, 3.855468273162842, 0.01622647656977818
Tesla T4, f32, 128, 64, 128, 4000, 800, 827392, 3.749560832977295, 0.01694697284042832
Tesla T4, f32, 128, 64, 128, 4000, 1000, 840192, 3.759244680404663, 0.017164816628284497
Tesla T4, f32, 128, 64, 128, 6000, 200, 916992, 3.8182170391082764, 0.01844446894418746
Tesla T4, f32, 128, 64, 128, 6000, 400, 929792, 3.768667697906494, 0.01894781692736331
Tesla T4, f32, 128, 64, 128, 6000, 600, 942592, 3.758714437484741, 0.01925952790615365
Tesla T4, f32, 128, 64, 128, 6000, 800, 955392, 3.7560060024261475, 0.01953514066607052
Tesla T4, f32, 128, 64, 128, 6000, 1000, 968192, 3.7534072399139404, 0.019810572327266275
Tesla T4, f32, 128, 64, 128, 8000, 200, 1044992, 3.890373468399048, 0.020629223968316443
Tesla T4, f32, 128, 64, 128, 8000, 400, 1057792, 3.7564492225646973, 0.021626387257415093
Tesla T4, f32, 128, 64, 128, 8000, 600, 1070592, 3.7634119987487793, 0.021847585549319648
Tesla T4, f32, 128, 64, 128, 8000, 800, 1083392, 3.769218921661377, 0.0220747341370465
Tesla T4, f32, 128, 64, 128, 8000, 1000, 1096192, 3.773918867111206, 0.022307725355114064
Tesla T4, f32, 128, 64, 256, 2000, 200, 660992, 3.8562395572662354, 0.026328336114049788
Tesla T4, f32, 128, 64, 256, 2000, 400, 673792, 3.8726401329040527, 0.02672452064953182
Tesla T4, f32, 128, 64, 256, 2000, 600, 686592, 3.879164695739746, 0.02718640209213622
Tesla T4, f32, 128, 64, 256, 2000, 800, 699392, 3.8684959411621094, 0.027769606801688586
Tesla T4, f32, 128, 64, 256, 2000, 1000, 712192, 3.8728415966033936, 0.028246105210174594
Tesla T4, f32, 128, 64, 256, 4000, 200, 788992, 3.8744752407073975, 0.03127886066394721
Tesla T4, f32, 128, 64, 256, 4000, 400, 801792, 3.859968423843384, 0.03190576649261133
Tesla T4, f32, 128, 64, 256, 4000, 600, 814592, 3.8875296115875244, 0.03218530627446591
Tesla T4, f32, 128, 64, 256, 4000, 800, 827392, 3.857773542404175, 0.03294320151327462
Tesla T4, f32, 128, 64, 256, 4000, 1000, 840192, 3.8637187480926514, 0.03340136785673338
Tesla T4, f32, 128, 64, 256, 6000, 200, 916992, 3.991521120071411, 0.035287291977921464
Tesla T4, f32, 128, 64, 256, 6000, 400, 929792, 3.874345064163208, 0.036861985402646576
Tesla T4, f32, 128, 64, 256, 6000, 600, 942592, 3.959796190261841, 0.03656302603554611
Tesla T4, f32, 128, 64, 256, 6000, 800, 955392, 3.863737106323242, 0.037980899621725704
Tesla T4, f32, 128, 64, 256, 6000, 1000, 968192, 3.8754875659942627, 0.038373053368795186
Tesla T4, f32, 128, 64, 256, 8000, 200, 1044992, 3.8596253395080566, 0.041587137890554564
Tesla T4, f32, 128, 64, 256, 8000, 400, 1057792, 3.877558946609497, 0.04190183913053554
Tesla T4, f32, 128, 64, 256, 8000, 600, 1070592, 3.8511147499084473, 0.042700086047529305
Tesla T4, f32, 128, 64, 256, 8000, 800, 1083392, 3.8599812984466553, 0.043111351670788355
Tesla T4, f32, 128, 64, 256, 8000, 1000, 1096192, 3.9061334133148193, 0.0431053098765292
Tesla T4, f32, 128, 64, 512, 2000, 200, 660992, 3.9601941108703613, 0.05127444178623171
Tesla T4, f32, 128, 64, 512, 2000, 400, 673792, 3.8936426639556885, 0.05316073411567581
Tesla T4, f32, 128, 64, 512, 2000, 600, 686592, 3.900447130203247, 0.05407612393120918
Tesla T4, f32, 128, 64, 512, 2000, 800, 699392, 3.987933397293091, 0.053875830159509926
Tesla T4, f32, 128, 64, 512, 2000, 1000, 712192, 3.8944413661956787, 0.056178887246599515
Tesla T4, f32, 128, 64, 512, 4000, 200, 788992, 3.8852713108062744, 0.06238389111356588
Tesla T4, f32, 128, 64, 512, 4000, 400, 801792, 3.8895106315612793, 0.0633268618425473
Tesla T4, f32, 128, 64, 512, 4000, 600, 814592, 3.895655632019043, 0.06423634069274857
Tesla T4, f32, 128, 64, 512, 4000, 800, 827392, 3.9198176860809326, 0.06484353170367119
Tesla T4, f32, 128, 64, 512, 4000, 1000, 840192, 3.8913276195526123, 0.06632877198596676
Tesla T4, f32, 128, 64, 512, 6000, 200, 916992, 3.892289638519287, 0.0723738386815337
