device,input_type,layers,nodes,batch_size,input_size,output_size,#params,duration,tflops
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 4000, 200, 138625024, 1.457672119140625, 14.607402725760602
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 4000, 400, 139034624, 1.2208290100097656, 17.492800442405255
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 4000, 600, 139444224, 1.6151151657104492, 13.261365666750132
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 4000, 800, 139853824, 1.9546372890472412, 10.990042749502063
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 4000, 1000, 140263424, 1.217775583267212, 17.691652076483276
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 6000, 200, 142721024, 1.2181291580200195, 17.996407968784307
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 6000, 400, 143130624, 1.2154619693756104, 18.08766082388719
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 6000, 600, 143540224, 1.21095871925354, 18.206878612667083
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 6000, 800, 143949824, 1.21333646774292, 18.223051522988413
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 6000, 1000, 144359424, 1.2155635356903076, 18.24142208560724
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 8000, 200, 146817024, 1.2150509357452393, 18.55979385141456
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 8000, 400, 147226624, 1.9492321014404297, 11.60149652249666
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 8000, 600, 147636224, 1.2817509174346924, 17.69214571875306
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 8000, 800, 148045824, 1.2502353191375732, 18.188446781431676
NVIDIA A100 80GB PCIe, f16, 32, 2048, 256, 8000, 1000, 148455424, 1.2390339374542236, 18.403655006618777
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 2000, 200, 134529024, 1.2068631649017334, 34.243580693064736
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 2000, 400, 134938624, 1.9283909797668457, 21.49623480286759
